title,author,star_rating,book_format,price
Web Scraping with Python: Collecting More Data from the Modern Web,"by  Ryan Mitchell  | Apr 17, 2018",4.6 out of 5 stars,Paperback,$36.78
Website Scraping with Python: Using BeautifulSoup and Scrapy,"by Gábor László Hajba | Sep 15, 2018",4.0 out of 5 stars,Paperback,$26.99
"Hands-On Web Scraping with Python: Perform advanced scraping operations using various Python libraries and tools such as Selenium, Regex, and others","by  Anish Chapagain  | Jul 15, 2019",4.0 out of 5 stars,Kindle,$17.19
"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Instagram, GitHub, and More","by Matthew A. Russell and Mikhail Klassen | Jan 14, 2019",4.3 out of 5 stars,Paperback,$32.99
Go Web Scraping Quick Start Guide: Implement the power of Go to scrape and crawl data from the web,"by  Vincent Smith  | Jan 30, 2019",4.0 out of 5 stars,Kindle,$11.99
"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition","by  Jaime Buelta  | May 29, 2020",4.1 out of 5 stars,Kindle,$17.19
"Python Web Scraping Cookbook: Over 90 proven recipes to get you scraping with Python, micro services, Docker and AWS","by Michael Heydt | Feb 9, 2018",4.0 out of 5 stars,Paperback,$39.99
Learning Scrapy: Learn the art of effi cient web scraping and crawling with Python,"by  Dimitrios Kouzis-Loukas  | Jan 30, 2016",3.9 out of 5 stars,Paperback,$34.99
"Python Web Scraping: Hands-on data scraping and crawling using PyQT, Selnium, HTML and Python, 2nd Edition","by Katharine Jarmul and Richard Lawson | May 30, 2017",2.3 out of 5 stars,Paperback,$34.99
Instant Web Scraping with Java,"by  Ryan Mitchell  | Aug 26, 2013",2.4 out of 5 stars,Paperback,$24.99
Web Scraping with Python (Community Experience Distilled),"by  Richard Lawson  | Oct 28, 2015",3.7 out of 5 stars,Kindle,$17.19
Plantar Fasciitis Survival Guide: The Ultimate Program to Beat Plantar Fasciitis!,"by William Prowse, Howard Rosen, et al. | Mar 2, 2015",4.2 out of 5 stars,Kindle,$4.99
R Web Scraping Quick Start Guide: Techniques and tools to crawl and scrape data from websites,"by  Olgun Aydin  | Oct 31, 2018",2.4 out of 5 stars,Kindle,$14.59
"Web Scraping with PHP, 2nd Edition: A php[architect] guide","by Matthew Turland, Oscar Merida, et al. | Aug 26, 2019",,Paperback,$24.00
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners","by  Al Sweigart  | Nov 12, 2019",4.8 out of 5 stars,Paperback,$26.99
"The Data Wrangling Workshop: Create your own actionable insights using data from multiple raw sources, 2nd Edition","by  Brian Lipp  , Shubhadeep Roychowdhury, et al. | Jul 29, 2020",,Paperback,$34.99
Plantar Fasciitis Survival Guide: The Ultimate Program to Beat Plantar Fasciitis!,"by William Prowse, Howard Rosen, et al. | Mar 2, 2015",4.2 out of 5 stars,Kindle,$4.99
Programando con Python: Proyecto web scraping (Spanish Edition),"by Enrique Vicente Garcia | Jun 26, 2020",5.0 out of 5 stars,Kindle Edition,$0.99
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners","by  Al Sweigart  | Nov 12, 2019",4.8 out of 5 stars,Paperback,$23.99
A Practical Guide to Web Scraping and Text Mining Automated Data Collection with R (Hardback) - Common,"by Simon Munzert | Jan 1, 2015",,Hardcover,$84.87
